院校代号,院校名,专业组号,再选科目要求(原文),subject_requirement,投档最低分,年份,首选(科类)
0306,中国民用航空飞行学院,01,不限,历史,554,2025,历史
0306,中国民用航空飞行学院,02,思想政治,历史+思想政治,561,2025,历史
1101,南京大学,03,不限,历史,643,2025,历史
1102,东南大学,03,不限,历史,636,2025,历史
1103,南京航空航天大学,01,不限,历史,614,2025,历史
1104,南京理工大学,01,不限,历史,610,2025,历史
1105,河海大学,01,不限,历史,609,2025,历史
1105,河海大学,02,不限,历史,603,2025,历史
1105,河海大学,03,思想政治,历史+思想政治,607,2025,历史
1106,南京信息工程大学,01,不限,历史,588,2025,历史
1106,南京信息工程大学,02,思想政治,历史+思想政治,596,2025,历史
1107,南京农业大学,01,不限,历史,595,2025,历史
1108,南京师范大学,05,不限,历史,629,2025,历史
1108,南京师范大学,06,不限,历史,623,2025,历史
1108,南京师范大学,07,不限,历史,624,2025,历史
1108,南京师范大学,08,不限,历史,604,2025,历史
1108,南京师范大学,11,思想政治,历史+思想政治,615,2025,历史
1108,南京师范大学,12,地理,历史+地理,612,2025,历史
1109,中国药科大学,01,不限,历史,591,2025,历史
1110,南京工业大学,02,不限,历史,577,2025,历史
1111,南京邮电大学,02,不限,历史,582,2025,历史
1112,南京医科大学,01,不限,历史,577,2025,历史
1114,南京工程学院,01,不限,历史,557,2025,历史
1116,南京财经大学,01,不限,历史,601,2025,历史
1116,南京财经大学,02,不限,历史,599,2025,历史
1116,南京财经大学,03,不限,历史,599,2025,历史
1116,南京财经大学,04,不限,历史,583,2025,历史
1116,南京财经大学,05,不限,历史,582,2025,历史
1117,南京体育学院,01,不限,历史,536,2025,历史
1117,南京体育学院,02,不限,历史,541,2025,历史
1118,南京艺术学院,01,不限,历史,530,2025,历史
1119,南京审计大学,01,不限,历史,601,2025,历史
1119,南京审计大学,02,不限,历史,606,2025,历史
1119,南京审计大学,03,不限,历史,583,2025,历史
1120,南京晓庄学院,03,不限,历史,552,2025,历史
1120,南京晓庄学院,04,不限,历史,545,2025,历史
1120,南京晓庄学院,06,思想政治,历史+思想政治,571,2025,历史
1120,南京晓庄学院,07,地理,历史+地理,565,2025,历史
1128,金陵科技学院,01,不限,历史,558,2025,历史
1128,金陵科技学院,02,不限,历史,543,2025,历史
1131,江苏第二师范学院,03,不限,历史,563,2025,历史
1131,江苏第二师范学院,04,不限,历史,557,2025,历史
1131,江苏第二师范学院,05,不限,历史,548,2025,历史
1131,江苏第二师范学院,06,不限,历史,555,2025,历史
1131,江苏第二师范学院,09,思想政治,历史+思想政治,564,2025,历史
1131,江苏第二师范学院,10,地理,历史+地理,556,2025,历史
1133,南京特殊教育师范学院,02,不限,历史,542,2025,历史
1133,南京特殊教育师范学院,04,思想政治,历史+思想政治,549,2025,历史
1136,南京工业职业技术大学,01,不限,历史,530,2025,历史
1201,江南大学,01,不限,历史,611,2025,历史
1201,江南大学,02,不限,历史,599,2025,历史
1201,江南大学,03,不限,历史,606,2025,历史
1201,江南大学,04,不限,历史,601,2025,历史
